"name","n","m","heuristic","non-permutation insertions [%]","makespan","time.µs."
"vrfl008",100,20,"NEH",40,6471,2631
"vrfl008",100,20,"NEH",50,6413,3190
"vrfl008",100,20,"NEH",60,6371,3670
"vrfl008",100,20,"NEH",70,6320,4193
"vrfl008",100,20,"NEH",80,6490,3967
"vrfl008",100,20,"NEH",90,6396,5006
"vrfl008",100,20,"NEH",100,6416,5074
"vrfl008",100,20,"BRN",0,6437,1098
"vrfl008",100,20,"BRN",10,6366,3862
"vrfl008",100,20,"BRN",20,6374,6814
"vrfl008",100,20,"BRN",30,6352,7564
"vrfl008",100,20,"BRN",40,6349,10022
"vrfl008",100,20,"BRN",50,6397,10262
"vrfl008",100,20,"BRN",60,6342,12333
"vrfl008",100,20,"BRN",70,6377,14065
"vrfl008",100,20,"BRN",80,6404,14737
"vrfl008",100,20,"BRN",90,6361,14959
"vrfl008",100,20,"BRN",100,6400,14715
"vrfl008",100,20,"FF",0,6497,1274
"vrfl008",100,20,"FF",10,6486,1508
"vrfl008",100,20,"FF",20,6428,2003
"vrfl008",100,20,"FF",30,6465,2655
"vrfl008",100,20,"FF",40,6476,2736
"vrfl008",100,20,"FF",50,6519,3232
"vrfl008",100,20,"FF",60,6395,3777
"vrfl008",100,20,"FF",70,6450,3903
"vrfl008",100,20,"FF",80,6395,4856
"vrfl008",100,20,"FF",90,6463,5291
"vrfl008",100,20,"FF",100,6441,4782
"vrfl008",100,20,"F5",0,6242,139661
"vrfl008",100,20,"F5",10,6212,252423
"vrfl008",100,20,"F5",20,6253,368499
"vrfl008",100,20,"F5",30,6225,504952
"vrfl008",100,20,"F5",40,6260,621558
